,0
0,Enallagma
1,Ischnura
2,Celithemis
3,Sympetrum
4,Dorocordulia
5,Erythemis
6,Libellula
7,Dythemis
8,Calopteryx
9,Phanogomphus
10,Hetaerina
11,Plathemis
12,Lestes
13,Perithemis
14,Arigomphus
15,Argia
16,Tramea
17,Epitheca
18,Gomphurus
19,Basiaeschna
20,Erythrodiplax
21,Anax
22,Pachydiplax
23,Dromogomphus
24,Phyllogomphoides
25,Brachymesia
26,Coenagrion
27,Cordulegaster
28,Ophiogomphus
29,Macromia
30,Micrathyria
31,Epiaeschna
32,Nehalennia
33,Amphiagrion
34,Orthemis
35,Telebasis
36,Didymops
37,Pantala
38,Archilestes
39,Nannothemis
40,Crocothemis
41,Leucorrhinia
42,Progomphus
43,Aeshna
44,Gomphaeschna
45,Tachopteryx
46,Paltothemis
47,Stylurus
48,Chromagrion
49,Triacanthagyna
50,Erpetogomphus
51,Somatochlora
52,Rhionaeschna
53,Tholymis
54,Boyeria
55,Aphylla
56,Brechmorhoga
57,Hylogomphus
58,Gynacantha
59,Hagenius
60,Idiataphe
61,Nasiaeschna
62,Stylogomphus
63,Octogomphus
64,Macrodiplax
65,Palaemnema
66,Hesperagrion
67,Miathyria
68,Pseudoleon
69,Coryphaeschna
70,Tanypteryx
71,Neoneura
72,Neoerythromma
73,Gomphus
74,Helocordulia
75,Cannaphila
76,Cordulia
77,Neurocordulia
78,Macrothemis
79,Acanthagrion
80,Zoniagrion
81,Megalagrion
82,Protoneura
83,Lanthus
84,Williamsonia
85,Phyllocycla
86,Apanisagrion
87,Oplonaeschna
88,Remartinia
89,Tauriphila
90,Leptobasis
91,Stenogomphurus
92,Planiplax
93,Nesogonia
